"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6","Ivns1abp",1.21341379218365e-23,0.469583667095806,0.8,0.444,3.91787045220258e-19
"6","Prrt3",1.25842184284024e-23,0.371528126451163,0.497,0.177,4.06319244616256e-19
"6","Col23a1",1.43693358094562e-23,0.464763474015586,0.748,0.331,4.63957114615721e-19
"6","Slc4a8",2.36590429434775e-23,0.494675472110713,0.677,0.318,7.63903178559003e-19
"6","Gpr45",2.62182363433599e-23,0.580749026427111,0.852,0.553,8.46534415054403e-19
"6","Sfxn5",3.13767717442824e-23,0.486893178827368,0.742,0.388,1.01309320607939e-18
"6","Tnfrsf21",3.47472179947883e-23,0.430509781148746,0.665,0.308,1.12191817461572e-18
"6","Gm26871",4.66713637959056e-23,0.478644992785131,0.994,0.983,1.5069249942422e-18
"6","Cdh10",7.33471811262319e-23,0.676775523398327,0.994,0.896,2.36823378420377e-18
"6","Armh4",7.86999050606311e-23,0.386861843675368,0.574,0.226,2.54106253459766e-18
"6","C1qtnf4",9.96386829567931e-23,0.567750842440159,0.781,0.414,3.21713379530894e-18
"6","Stxbp5l",1.03495636716961e-22,0.502231877052936,0.994,0.954,3.34166711831723e-18
"6","Add3",1.05141765041383e-22,0.531831658373885,0.884,0.576,3.39481730965619e-18
"6","Dnah9",1.0564251470471e-22,0.628436097567603,0.723,0.366,3.41098551478568e-18
"6","Stxbp2",1.16146271752718e-22,0.411835801578012,0.581,0.236,3.75013082235177e-18
"6","Tmem91",1.43666782245213e-22,0.336381003939379,0.581,0.219,4.63871306513342e-18
"6","Rims4",1.49467916767354e-22,0.325970846632244,0.535,0.201,4.82602009658431e-18
"6","Nrbp2",1.592790593139e-22,0.61787824897409,0.923,0.67,5.14280226712721e-18
"6","Olfm2",2.28699107531998e-22,0.44863498759158,0.484,0.18,7.38423678399315e-18
"6","Acss2",2.51795041457279e-22,0.5136830274382,0.684,0.344,8.12995829857261e-18
"6","Pcgf5",2.75120305508215e-22,0.518608455166705,0.819,0.457,8.88308442424926e-18
"6","Lmna",2.91837405586346e-22,0.438691054226845,0.561,0.227,9.42284615157195e-18
"6","Hnrnpll",3.34935957190187e-22,0.619346064315433,0.897,0.64,1.08144121857567e-17
"6","Osbpl1a",3.39129439838551e-22,0.536828512716631,0.89,0.6,1.09498113535071e-17
"6","Igfbp5",4.93083695517502e-22,0.295524684935595,0.277,0.068,1.59206863608691e-17
"6","Dgkg",5.84457812624112e-22,0.45860841192196,0.916,0.514,1.88709738540073e-17
"6","Epha3",6.04728069010842e-22,0.583308434428615,0.929,0.708,1.95254598922221e-17
"6","Larp1b",8.9285250004466e-22,0.480042915216187,0.774,0.408,2.8828421521442e-17
"6","Ptpn13",9.98552134759151e-22,0.327716481623796,0.355,0.105,3.22412513271035e-17
"6","Nab1",1.18362733416879e-21,0.420923251061042,0.477,0.18,3.8216959365642e-17
"6","Pak1",1.90964763207624e-21,0.67720880889591,0.877,0.625,6.16587027444778e-17
"6","Camk1",2.64076939154964e-21,0.403249594370989,0.658,0.305,8.52651621143547e-17
"6","Myt1l",3.02280127644197e-21,0.417644802589051,1,0.986,9.76002076137584e-17
"6","Magi2",4.11425458739391e-21,0.388393706456332,1,0.985,1.32841052117775e-16
"6","Pde9a",4.40207147315298e-21,0.483278384650938,0.742,0.388,1.42134083725164e-16
